id,date,time,timezone,user_id,tweet,mentions,urls,hashtags,place,photos,hashtags,near,tweets_tokens,word_only_tokens,processed_tweets,triggers,triggers2,triggers3,all_triggers,potential_locations
1233052487973605376,2020-02-27,23:33:16,8,2573946500,"In fact, itâs really not that ethereal or supernatural. On the contrary, itâs pretty practical and down-to-earth. Our hearts take cues from our senses. Everything we see, hear, taste, touch or smell teaches us about our universe. We donât need to contemplate or ask questions.",[],[],[],,[],[],Singapore,"['In', 'fact', ',', 'itâ', '\x80', '\x99', 's', 'really', 'not', 'that', 'ethereal', 'or', 'supernatural', '.', 'On', 'the', 'contrary', ',', 'itâ', '\x80', '\x99', 's', 'pretty', 'practical', 'and', 'down-to-earth', '.', 'Our', 'hearts', 'take', 'cues', 'from', 'our', 'senses', '.', 'Everything', 'we', 'see', ',', 'hear', ',', 'taste', ',', 'touch', 'or', 'smell', 'teaches', 'us', 'about', 'our', 'universe', '.', 'We', 'donâ', '\x80', '\x99', 't', 'need', 'to', 'contemplate', 'or', 'ask', 'questions', '.']","['In', 'fact', 'itâ', 's', 'really', 'not', 'that', 'ethereal', 'or', 'supernatural', 'On', 'the', 'contrary', 'itâ', 's', 'pretty', 'practical', 'and', 'down', 'to', 'earth', 'Our', 'hearts', 'take', 'cues', 'from', 'our', 'senses', 'Everything', 'we', 'see', 'hear', 'taste', 'touch', 'or', 'smell', 'teaches', 'us', 'about', 'our', 'universe', 'We', 'donâ', 't', 'need', 'to', 'contemplate', 'or', 'ask', 'questions']",in fact its really not that ethereal or supernatural on the contrary its pretty practical and down to earth our hearts take cues from our senses everything we see hear taste touch or smell teaches us about our universe we dont need to contemplate or ask questions ,,,or ,or,
1233050148512526341,2020-02-27,23:23:59,8,17617952,bau best can smell via conference call,['superrlon'],[],[],,[],[],Singapore,"['bau', 'best', 'can', 'smell', 'via', 'conference', 'call']","['bau', 'best', 'can', 'smell', 'via', 'conference', 'call']",bau best can smell via conference call,,,,,
1233049405185355776,2020-02-27,23:21:01,8,16257370,If thereâs a cologne made to smell like sesame oil oh boy I am going to fall in LOVE with it,[],[],[],,[],[],Singapore,"['If', 'thereâ', '\x80', '\x99', 's', 'a', 'cologne', 'made', 'to', 'smell', 'like', 'sesame', 'oil', 'oh', 'boy', 'I', 'am', 'going', 'to', 'fall', 'in', 'LOVE', 'with', 'it']","['If', 'thereâ', 's', 'a', 'cologne', 'made', 'to', 'smell', 'like', 'sesame', 'oil', 'oh', 'boy', 'I', 'am', 'going', 'to', 'fall', 'in', 'LOVE', 'with', 'it']",if theres a cologne made to smell like sesame oil oh boy i am going to fall in love with it,,oil,,oil,
1233031340070559745,2020-02-27,22:09:14,8,10079642,"But this morning when I smell my hair for a moment I was like ""WAIT why this isn't my smell"" then I realized I used her shampoo. I forgot I did that. Lol.",[],[],[],,[],[],Singapore,"['But', 'this', 'morning', 'when', 'I', 'smell', 'my', 'hair', 'for', 'a', 'moment', 'I', 'was', 'like', '""', 'WAIT', 'why', 'this', ""isn't"", 'my', 'smell', '""', 'then', 'I', 'realized', 'I', 'used', 'her', 'shampoo', '.', 'I', 'forgot', 'I', 'did', 'that', '.', 'Lol', '.']","['But', 'this', 'morning', 'when', 'I', 'smell', 'my', 'hair', 'for', 'a', 'moment', 'I', 'was', 'like', 'WAIT', 'why', 'this', 'isn', 't', 'my', 'smell', 'then', 'I', 'realized', 'I', 'used', 'her', 'shampoo', 'I', 'forgot', 'I', 'did', 'that', 'Lol']",but this morning when i smell my hair for a moment i was like wait why this isnt my smell then i realized i used her shampoo i forgot i did that lol ,,,,,
1233030790814085125,2020-02-27,22:07:03,8,343852187,"I am sitting in the office and I can smell wine. Almost as if I have a glass right next to me.

Thanks and bye.",['blacktailor1'],[],[],,[],[],Singapore,"['I', 'am', 'sitting', 'in', 'the', 'office', 'and', 'I', 'can', 'smell', 'wine', '.', 'Almost', 'as', 'if', 'I', 'have', 'a', 'glass', 'right', 'next', 'to', 'me', '.', 'Thanks', 'and', 'bye', '.']","['I', 'am', 'sitting', 'in', 'the', 'office', 'and', 'I', 'can', 'smell', 'wine', 'Almost', 'as', 'if', 'I', 'have', 'a', 'glass', 'right', 'next', 'to', 'me', 'Thanks', 'and', 'bye']","i am sitting in the office and i can smell wine almost as if i have a glass right next to me 

thanks and bye ",,,,,
1233027927618420736,2020-02-27,21:55:41,8,926395214415110144,I smell self confidence issues https://twitter.com/CrackHardly/status/1232922381993287680Â â¦,[],['https://twitter.com/CrackHardly/status/1232922381993287680'],[],,[],[],Singapore,"['I', 'smell', 'self', 'confidence', 'issues', 'https://twitter.com/CrackHardly/status/1232922381993287680Â', 'â', '\x80', '¦']","['I', 'smell', 'self', 'confidence', 'issues', 'https', 'twitter', 'com', 'CrackHardly', 'status', '1232922381993287680Â', 'â']",i smell self confidence issues https twitter comcrackhardlystatus1232922381993287680,,,,,
1233016875690283008,2020-02-27,21:11:46,8,1031746715252969472,Sometimes I smell myself randomly and I get shocked. Like damn... I smell goooood,[],[],[],,[],[],Singapore,"['Sometimes', 'I', 'smell', 'myself', 'randomly', 'and', 'I', 'get', 'shocked', '.', 'Like', 'damn', '...', 'I', 'smell', 'goooood']","['Sometimes', 'I', 'smell', 'myself', 'randomly', 'and', 'I', 'get', 'shocked', 'Like', 'damn', 'I', 'smell', 'goooood']",sometimes i smell myself randomly and i get shocked like damn i smell goooood,,,,,
1233014522471862272,2020-02-27,21:02:25,8,847743656840675328,Is it me OR I SMELL FUCKING HAZE,[],[],[],,[],[],Singapore,"['Is', 'it', 'me', 'OR', 'I', 'SMELL', 'FUCKING', 'HAZE']","['Is', 'it', 'me', 'OR', 'I', 'SMELL', 'FUCKING', 'HAZE']",is it me or i smell fucking haze,,,,,
1233003460477497344,2020-02-27,20:18:27,8,1014470557188984832,"ããããï¼
mmmmmmm

color: pink
food: chimken (bomeless)
song: um something by nakamura emi maybe... ãã«ãç§ã¯?
scent: llllllavender?? i dont smell many things
drink: strawberry banana smoothie

@FootbolHelmoot @fleyrfleyr @kazuniarts @SantanaelChan @owlboylover https://twitter.com/arkoiris_angel/status/1232931178648346624Â â¦","['footbolhelmoot', 'fleyrfleyr', 'kazuniarts', 'santanaelchan', 'owlboylover']",['https://twitter.com/arkoiris_angel/status/1232931178648346624'],[],,[],[],Singapore,"['ã', '\x81', '\x82', 'ã', '\x82', '\x8c', 'ã', '\x81', '\x82', 'ã', '\x82', '\x8c', 'ï¼', '\x9f', 'mmmmmmm', 'color', ':', 'pink', 'food', ':', 'chimken', '(', 'bomeless', ')', 'song', ':', 'um', 'something', 'by', 'nakamura', 'emi', 'maybe', '...', 'ã', '\x83', '\x90', 'ã', '\x82', '«', 'ã', '\x81', '\x8b', 'ç', '§', '\x81', 'ã', '\x81', '¯', '?', 'scent', ':', 'llllllavender', '?', '?', 'i', 'dont', 'smell', 'many', 'things', 'drink', ':', 'strawberry', 'banana', 'smoothie', '@FootbolHelmoot', '@fleyrfleyr', '@kazuniarts', '@SantanaelChan', '@owlboylover', 'https://twitter.com/arkoiris_angel/status/1232931178648346624Â', 'â', '\x80', '¦']","['ã', 'ã', 'ã', 'ã', 'ï¼', 'mmmmmmm', 'color', 'pink', 'food', 'chimken', 'bomeless', 'song', 'um', 'something', 'by', 'nakamura', 'emi', 'maybe', 'ã', 'ã', 'ã', 'ç', 'ã', 'scent', 'llllllavender', 'i', 'dont', 'smell', 'many', 'things', 'drink', 'strawberry', 'banana', 'smoothie', 'FootbolHelmoot', 'fleyrfleyr', 'kazuniarts', 'SantanaelChan', 'owlboylover', 'https', 'twitter', 'com', 'arkoiris_angel', 'status', '1232931178648346624Â', 'â']","
mmmmmmm

color pink
food chimken bomeless
song um something by nakamura emi maybe  
scent llllllavender i dont smell many things
drink strawberry banana smoothie

 https twitter comarkoirisangelstatus1232931178648346624",,,dont ,dont,FootbolHelmoot 
1232976656836395008,2020-02-27,18:31:57,8,97899750,When your newly-washed clothes smell like the sambal goreng your downstairs neighbour is cooking up,[],[],[],,[],[],Singapore,"['When', 'your', 'newly-washed', 'clothes', 'smell', 'like', 'the', 'sambal', 'goreng', 'your', 'downstairs', 'neighbour', 'is', 'cooking', 'up']","['When', 'your', 'newly', 'washed', 'clothes', 'smell', 'like', 'the', 'sambal', 'goreng', 'your', 'downstairs', 'neighbour', 'is', 'cooking', 'up']",when your newly washed clothes smell like the sambal goreng your downstairs neighbour is cooking up,,sambal,clothes ,sambal clothes,
